geo,time,reported,aggregated,abs_diff,rel_diff
BG,2005-Q2,3.62,3.616666666666667,0.0033333333333329662,0.000920810313075405
BG,2005-Q3,3.62,3.6166666666666667,0.0033333333333334103,0.0009208103130755277
BG,2005-Q4,3.6,3.603333333333333,0.0033333333333329662,0.0009259259259258239
BG,2006-Q1,3.6,3.5966666666666662,0.0033333333333338544,0.0009259259259260706
BG,2006-Q2,3.59,3.5933333333333333,0.0033333333333334103,0.0009285051067781087
BG,2006-Q3,3.69,3.69,0.0,0.0
BG,2006-Q4,3.88,3.8766666666666665,0.0033333333333334103,0.0008591065292096418
BG,2007-Q1,4.11,4.113333333333333,0.0033333333333329662,0.0008110300081102107
BG,2007-Q2,4.41,4.41,0.0,0.0
BG,2007-Q3,4.91,4.913333333333333,0.0033333333333329662,0.0006788866259333943
BG,2007-Q4,6.15,6.156666666666666,0.0066666666666659324,0.0010840108401082816
BG,2008-Q1,6.63,6.626666666666666,0.0033333333333338544,0.0005027652086476401
BG,2008-Q2,6.89,6.89,0.0,0.0
BG,2008-Q3,7.27,7.273333333333333,0.0033333333333338544,0.00045850527281070903
BG,2008-Q4,7.77,7.773333333333333,0.0033333333333338544,0.00042900042900049606
BG,2009-Q1,6.74,6.739999999999999,8.881784197001252e-16,1.3177721360535982e-16
BG,2009-Q2,5.99,5.990000000000001,8.881784197001252e-16,1.482768647245618e-16
BG,2009-Q3,5.37,5.366666666666667,0.0033333333333329662,0.0006207324643078149
BG,2009-Q4,4.78,4.783333333333334,0.0033333333333338544,0.0006973500697351159
BG,2010-Q1,4.31,4.3066666666666675,0.003333333333332078,0.0007733952049494381
BG,2010-Q2,4.19,4.193333333333333,0.0033333333333329662,0.0007955449482894907
BG,2010-Q3,4.02,4.0233333333333325,0.0033333333333329662,0.0008291873963514842
BG,2010-Q4,3.97,3.97,0.0,0.0
BG,2011-Q1,3.9,3.8966666666666665,0.0033333333333334103,0.0008547008547008744
BG,2011-Q2,3.77,3.766666666666667,0.0033333333333329662,0.000884173297966304
BG,2011-Q3,3.72,3.72,0.0,0.0
BG,2011-Q4,3.65,3.6533333333333338,0.0033333333333338544,0.0009132420091325629
BG,2012-Q1,3.15,3.1466666666666665,0.0033333333333334103,0.0010582010582010828
BG,2012-Q2,2.58,2.5833333333333335,0.0033333333333334103,0.001291989664082717
BG,2012-Q3,1.81,1.8099999999999998,2.220446049250313e-16,1.2267657730664714e-16
BG,2012-Q4,1.47,1.4666666666666666,0.0033333333333334103,0.0022675736961451773
BG,2013-Q1,1.24,1.2433333333333334,0.0033333333333334103,0.002688172043010815
BG,2013-Q2,1.21,1.21,0.0,0.0
BG,2013-Q3,1.11,1.1066666666666667,0.0033333333333334103,0.003003003003003072
BG,2013-Q4,0.99,0.9899999999999999,1.1102230246251565e-16,1.1214373986112693e-16
BG,2014-Q1,0.89,0.8933333333333334,0.0033333333333334103,0.0037453183520600114
BG,2014-Q2,0.82,0.8233333333333333,0.0033333333333332993,0.004065040650406463
BG,2014-Q3,0.73,0.7266666666666666,0.0033333333333334103,0.004566210045662206
BG,2014-Q4,0.66,0.67,0.010000000000000009,0.015151515151515164
BG,2015-Q1,0.61,0.6133333333333333,0.0033333333333332993,0.005464480874316884
BG,2015-Q2,0.55,0.55,0.0,0.0
BG,2015-Q3,0.5166666666666667,0.5166666666666667,0.0,0.0
BG,2015-Q4,0.49,0.49,0.0,0.0
BG,2016-Q1,0.2066666666666667,0.20666666666666667,2.7755575615628914e-17,1.3430117233368827e-16
BG,2016-Q2,0.13333333333333333,0.13333333333333333,0.0,0.0
BG,2016-Q3,0.14,0.14,0.0,0.0
BG,2016-Q4,0.13333333333333333,0.13333333333333333,0.0,0.0
